TimeNumber,TempOutside,QuantMilk,Car,SizeBagBig,SizeBagSmall,TempRise
0.156041667,25,20,1,1,0,3.86
0.15869213,25,20,1,1,0,3.86
0.159386574,25,20,1,1,0,3.97
0.159490741,25,20,1,1,0,3.97
0.161701389,25,20,1,1,0,3.97
0.16287037,25,20,1,1,0,4.08
0.162962963,25,20,1,1,0,4.08
0.164513889,25,20,1,1,0,4.08
0.166087963,25,20,1,1,0,4.08
0.166354167,25,20,1,1,0,4.17
0.166423611,25,20,1,1,0,4.17
0.167928241,25,20,1,1,0,4.17
0.169409722,25,20,1,1,0,4.17
8.10185E-05,27,17.5,1,1,0,0
0.001585648,27,17.5,1,1,0,0
0.003113426,27,17.5,1,1,0,0
0.003472222,27,17.5,1,1,0,0
0.003611111,27,17.5,1,1,0,0
0.005821759,27,17.5,1,1,0,0
0.006956019,27,17.5,1,1,0,0.01
0.007060185,27,17.5,1,1,0,0.01
0.008587963,27,17.5,1,1,0,0.01
0.010138889,27,17.5,1,1,0,0.01
0.010428241,27,17.5,1,1,0,0.05
0.011655093,27,17.5,1,1,0,0.05
0.01318287,27,17.5,1,1,0,0.05
0.013912037,27,17.5,1,1,0,0.08
0.014016204,27,17.5,1,1,0,0.08
0.015578704,27,17.5,1,1,0,0.08
0.017118056,27,17.5,1,1,0,0.08
0.017395833,27,17.5,1,1,0,0.14
0.017488426,27,17.5,1,1,0,0.14
0.01900463,27,17.5,1,1,0,0.14
0.020520833,27,17.5,1,1,0,0.14
0.02087963,27,17.5,1,1,0,0.16
0.020972222,27,17.5,1,1,0,0.16
0.022511574,27,17.5,1,1,0,0.16
0.024039352,27,17.5,1,1,0,0.16
0.024363426,27,17.5,1,1,0,0.23
0.024444444,27,17.5,1,1,0,0.23
0.026701389,27,17.5,1,1,0,0.23
0.027847222,27,17.5,1,1,0,0.29
0.027962963,27,17.5,1,1,0,0.29
0.029467593,27,17.5,1,1,0,0.29
0.031006944,27,17.5,1,1,0,0.29
0.031331019,27,17.5,1,1,0,0.34
0.031423611,27,17.5,1,1,0,0.34
0.032974537,27,17.5,1,1,0,0.34
0.034513889,27,17.5,1,1,0,0.34
0.034814815,27,17.5,1,1,0,0.45
0.034930556,27,17.5,1,1,0,0.45
0.053784722,27,17.5,1,1,0,0.45
0.054513889,27,17.5,1,1,0,0.45
0.056041667,27,17.5,1,1,0,1.1
0.057673611,27,17.5,1,1,0,1.1
0.057997685,27,17.5,1,1,0,1.41
0.058090278,27,17.5,1,1,0,1.41
0.059641204,27,17.5,1,1,0,1.41
0.061203704,27,17.5,1,1,0,1.41
0.061469907,27,17.5,1,1,0,1.69
0.062766204,27,17.5,1,1,0,1.69
0.064398148,27,17.5,1,1,0,1.69
0.064953704,27,17.5,1,1,0,1.87
0.065162037,27,17.5,1,1,0,1.87
0.066770833,27,17.5,1,1,0,1.87
0.068368056,27,17.5,1,1,0,1.87
0.08193287,27,17.5,1,1,0,2.01
0.083298611,27,17.5,1,1,0,2.01
0.084849537,27,17.5,1,1,0,2.27
0.086435185,27,17.5,1,1,0,2.27
0.086782407,27,17.5,1,1,0,2.34
0.086898148,27,17.5,1,1,0,2.34
0.00150463,8,9,1,1,0,0
0.001886574,8,9,1,1,0,0.05
0.001956019,8,9,1,1,0,0.05
0.003460648,8,9,1,1,0,0.05
0.004953704,8,9,1,1,0,0.05
0.00537037,8,9,1,1,0,0.13
0.005462963,8,9,1,1,0,0.13
0.006956019,8,9,1,1,0,0.13
0.008449074,8,9,1,1,0,0.13
0.008854167,8,9,1,1,0,0.27
0.008935185,8,9,1,1,0,0.27
0.010439815,8,9,1,1,0,0.27
0.01193287,8,9,1,1,0,0.27
0.012337963,8,9,1,1,0,0.38
0.012407407,8,9,1,1,0,0.38
0.013923611,8,9,1,1,0,0.38
0.015462963,8,9,1,1,0,0.38
0.015821759,8,9,1,1,0,0.51
0.015902778,8,9,1,1,0,0.51
0.017407407,8,9,1,1,0,0.51
0.018923611,8,9,1,1,0,0.51
0.019305556,8,9,1,1,0,0.67
0.019375,8,9,1,1,0,0.67
0.02087963,8,9,1,1,0,0.67
0.022384259,8,9,1,1,0,0.67
0.022789352,8,9,1,1,0,0.8
0.022858796,8,9,1,1,0,0.8
0.001481481,1,10,1,1,0,0
0.002997685,1,10,1,1,0,0
0.003414352,1,10,1,1,0,0.04
0.003483796,1,10,1,1,0,0.04
